Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Petal.Area,Aspect.Ratio,Skinny.Petal
5.1,3.5,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
4.9,3,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
4.7,3.2,1.3,0.2,setosa,0.26,6.5,FALSE
4.6,3.1,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
5,3.6,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
5,3.4,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
4.4,2.9,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
4.9,3.1,1.5,0.1,setosa,0.15000000000000002,15,TRUE
5.4,3.7,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
4.8,3.4,1.6,0.2,setosa,0.32000000000000006,8,TRUE
4.8,3,1.4,0.1,setosa,0.13999999999999999,13.999999999999998,TRUE
4.3,3,1.1,0.1,setosa,0.11000000000000001,11,TRUE
5.8,4,1.2,0.2,setosa,0.24,5.999999999999999,FALSE
5.7,3.8,1.7,0.3,setosa,0.51,5.666666666666667,FALSE
5.4,3.4,1.7,0.2,setosa,0.34,8.5,TRUE
4.8,3.4,1.9,0.2,setosa,0.38,9.499999999999998,TRUE
5,3,1.6,0.2,setosa,0.32000000000000006,8,TRUE
5.2,3.5,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
5.2,3.4,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
4.7,3.2,1.6,0.2,setosa,0.32000000000000006,8,TRUE
4.8,3.1,1.6,0.2,setosa,0.32000000000000006,8,TRUE
5.2,4.1,1.5,0.1,setosa,0.15000000000000002,15,TRUE
5.5,4.2,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
4.9,3.1,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
5,3.2,1.2,0.2,setosa,0.24,5.999999999999999,FALSE
5.5,3.5,1.3,0.2,setosa,0.26,6.5,FALSE
4.9,3.6,1.4,0.1,setosa,0.13999999999999999,13.999999999999998,TRUE
4.4,3,1.3,0.2,setosa,0.26,6.5,FALSE
5.1,3.4,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
4.4,3.2,1.3,0.2,setosa,0.26,6.5,FALSE
5.1,3.8,1.6,0.2,setosa,0.32000000000000006,8,TRUE
4.6,3.2,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
5.3,3.7,1.5,0.2,setosa,0.30000000000000004,7.5,TRUE
5,3.3,1.4,0.2,setosa,0.27999999999999997,6.999999999999999,TRUE
